run_ts,env,trade_date,city,series_ticker,event_ticker,pred_tmax_f,spread_f,confidence_score,decision,reason
2026-01-23T21:58:01.930382+00:00,demo,2026-01-24,ny,KXHIGHNY,KXHIGHNY-26JAN24,24.3944,9.7270,0.0000,skip,confidence<0.5;spread>3.0
2026-01-23T21:58:01.930632+00:00,demo,2026-01-24,il,KXHIGHCHI,KXHIGHCHI-26JAN24,9.7016,1.4389,1.0000,trade,
2026-01-23T21:58:02.400502+00:00,demo,2026-01-24,tx,KXHIGHAUS,KXHIGHAUS-26JAN24,54.6093,13.7089,0.0000,skip,confidence<0.5;spread>3.0
2026-01-23T21:58:02.400743+00:00,demo,2026-01-24,fl,KXHIGHMIA,KXHIGHMIA-26JAN24,76.2463,1.2164,1.0000,trade,
2026-01-23T21:58:52.679149+00:00,demo,2026-01-24,ny,KXHIGHNY,KXHIGHNY-26JAN24,19.8475,3.8595,0.0000,skip,confidence<0.5;spread>3.0
2026-01-23T21:58:52.680067+00:00,demo,2026-01-24,il,KXHIGHCHI,KXHIGHCHI-26JAN24,9.0850,0.8287,1.0000,trade,
2026-01-23T21:58:52.924674+00:00,demo,2026-01-24,tx,KXHIGHAUS,KXHIGHAUS-26JAN24,49.5750,10.4018,0.0000,skip,confidence<0.5;spread>3.0
2026-01-23T21:58:52.924900+00:00,demo,2026-01-24,fl,KXHIGHMIA,KXHIGHMIA-26JAN24,75.8850,1.0939,1.0000,trade,
2026-01-23T22:29:39.990988+00:00,demo,2026-01-24,ny,KXHIGHNY,KXHIGHNY-26JAN24,20.0725,4.2422,0.0000,skip,confidence<0.5
2026-01-23T22:29:41.628109+00:00,demo,2026-01-24,il,KXHIGHCHI,KXHIGHCHI-26JAN24,9.0850,0.8287,1.0000,skip,no_qualifying_market
2026-01-23T22:29:41.629226+00:00,demo,2026-01-24,tx,KXHIGHAUS,KXHIGHAUS-26JAN24,49.5250,10.3301,0.0000,skip,confidence<0.5
2026-01-23T22:29:43.229340+00:00,demo,2026-01-24,fl,KXHIGHMIA,KXHIGHMIA-26JAN24,75.8850,1.0939,1.0000,skip,no_qualifying_market
2026-01-23T22:31:01.274741+00:00,demo,2026-01-24,ny,KXHIGHNY,KXHIGHNY-26JAN24,20.0725,4.2422,0.0000,skip,confidence<0.5
2026-01-23T22:31:03.062784+00:00,demo,2026-01-24,il,KXHIGHCHI,KXHIGHCHI-26JAN24,9.0850,0.8287,1.0000,skip,no_qualifying_market
2026-01-23T22:31:03.066796+00:00,demo,2026-01-24,tx,KXHIGHAUS,KXHIGHAUS-26JAN24,49.5250,10.3301,0.0000,skip,confidence<0.5
2026-01-23T22:31:04.710702+00:00,demo,2026-01-24,fl,KXHIGHMIA,KXHIGHMIA-26JAN24,75.8850,1.0939,1.0000,skip,no_qualifying_market
2026-01-23T22:33:16.203655+00:00,demo,2026-01-24,ny,KXHIGHNY,KXHIGHNY-26JAN24,20.0725,4.2422,0.0000,skip,confidence<0.5
