run_ts,env,trade_date,city,series_ticker,event_ticker,market_ticker,market_subtitle,pred_tmax_f,side,count,yes_price,no_price,send_orders
2026-01-23T15:57:53.043616-05:00,demo,2026-01-23,ny,KXHIGHNY,KXHIGHNY-26JAN23,KXHIGHNY-26JAN23-T39,40° or above,40.1500,yes,10,50,50,False
2026-01-23T15:57:53.464667-05:00,demo,2026-01-23,il,KXHIGHCHI,KXHIGHCHI-26JAN23,KXHIGHCHI-26JAN23-B7.5,7° to 8°,7.9625,yes,10,50,50,False
2026-01-23T15:57:53.870929-05:00,demo,2026-01-23,tx,KXHIGHAUS,KXHIGHAUS-26JAN23,KXHIGHAUS-26JAN23-B67.5,67° to 68°,67.5325,yes,10,50,50,False
2026-01-23T15:57:54.309861-05:00,demo,2026-01-23,fl,KXHIGHMIA,KXHIGHMIA-26JAN23,KXHIGHMIA-26JAN23-B79.5,79° to 80°,79.4300,yes,10,50,50,False
2026-01-23T16:20:45.594346-05:00,demo,2026-01-24,ny,KXHIGHNY,KXHIGHNY-26JAN24,KXHIGHNY-26JAN24-T16,15° or below,19.5725,yes,10,50,50,False
2026-01-23T16:20:46.016240-05:00,demo,2026-01-24,il,KXHIGHCHI,KXHIGHCHI-26JAN24,KXHIGHCHI-26JAN24-B9.5,9° to 10°,9.0850,yes,10,50,50,False
2026-01-23T16:20:46.437082-05:00,demo,2026-01-24,tx,KXHIGHAUS,KXHIGHAUS-26JAN24,KXHIGHAUS-26JAN24-T55,54° or below,49.8725,yes,10,50,50,False
2026-01-23T16:20:46.853446-05:00,demo,2026-01-24,fl,KXHIGHMIA,KXHIGHMIA-26JAN24,KXHIGHMIA-26JAN24-T77,76° or below,75.8850,yes,10,50,50,False
2026-01-23T16:23:08.462099-05:00,demo,2026-01-24,ny,KXHIGHNY,KXHIGHNY-26JAN24,KXHIGHNY-26JAN24-T16,15° or below,19.5725,yes,10,50,50,False
2026-01-23T16:23:09.047982-05:00,demo,2026-01-24,il,KXHIGHCHI,KXHIGHCHI-26JAN24,KXHIGHCHI-26JAN24-B9.5,9° to 10°,9.0850,yes,10,50,50,False
2026-01-23T16:23:09.439440-05:00,demo,2026-01-24,tx,KXHIGHAUS,KXHIGHAUS-26JAN24,KXHIGHAUS-26JAN24-T55,54° or below,49.8725,yes,10,50,50,False
2026-01-23T16:23:09.886149-05:00,demo,2026-01-24,fl,KXHIGHMIA,KXHIGHMIA-26JAN24,KXHIGHMIA-26JAN24-T77,76° or below,75.8850,yes,10,50,50,False
2026-01-23T16:25:40.100623-05:00,demo,2026-01-24,ny,KXHIGHNY,KXHIGHNY-26JAN24,KXHIGHNY-26JAN24-B20.5,20° to 21°,19.5725,yes,10,50,50,False
2026-01-23T16:25:40.516847-05:00,demo,2026-01-24,il,KXHIGHCHI,KXHIGHCHI-26JAN24,KXHIGHCHI-26JAN24-B9.5,9° to 10°,9.0850,yes,10,50,50,False
2026-01-23T16:25:41.089490-05:00,demo,2026-01-24,tx,KXHIGHAUS,KXHIGHAUS-26JAN24,KXHIGHAUS-26JAN24-T55,54° or below,49.8725,yes,10,50,50,False
2026-01-23T16:25:41.453977-05:00,demo,2026-01-24,fl,KXHIGHMIA,KXHIGHMIA-26JAN24,KXHIGHMIA-26JAN24-T77,76° or below,75.8850,yes,10,50,50,False
2026-01-23T16:26:19.454220-05:00,demo,2026-01-24,ny,KXHIGHNY,KXHIGHNY-26JAN24,KXHIGHNY-26JAN24-B20.5,20° to 21°,19.5725,yes,10,50,50,False
2026-01-23T16:26:20.036270-05:00,demo,2026-01-24,il,KXHIGHCHI,KXHIGHCHI-26JAN24,KXHIGHCHI-26JAN24-B9.5,9° to 10°,9.0850,yes,10,50,50,False
2026-01-23T16:26:20.398649-05:00,demo,2026-01-24,tx,KXHIGHAUS,KXHIGHAUS-26JAN24,KXHIGHAUS-26JAN24-T55,54° or below,49.8725,yes,10,50,50,False
2026-01-23T16:26:20.772210-05:00,demo,2026-01-24,fl,KXHIGHMIA,KXHIGHMIA-26JAN24,KXHIGHMIA-26JAN24-T77,76° or below,75.8850,yes,10,50,50,False
2026-01-23T16:58:02.399913-05:00,demo,2026-01-24,il,KXHIGHCHI,KXHIGHCHI-26JAN24,KXHIGHCHI-26JAN24-B9.5,9° to 10°,9.7016,yes,10,50,50,False
2026-01-23T16:58:02.829796-05:00,demo,2026-01-24,fl,KXHIGHMIA,KXHIGHMIA-26JAN24,KXHIGHMIA-26JAN24-T77,76° or below,76.2463,yes,10,50,50,False
